level,stage,english
1,first,find
1,first,fine
1,first,finger
1,first,finish
1,first,fire
1,first,fish
1,first,floor
1,first,flower
1,first,fly
1,first,fog
1,first,follow
1,first,foot
1,first,force
1,first,forget
1,first,fork
1,first,free
1,first,front
1,first,fruit
1,first,garden
1,first,gas
1,first,get
1,first,give
1,first,go
1,first,gray
1,first,green
1,first,grey
1,first,ground
1,first,group
1,first,grow
1,first,guess
1,first,guest
1,first,guide
1,first,gun
1,first,hand
1,first,happen
1,first,hate
1,first,have
1,first,head
1,first,hear
1,first,heat
1,first,help
1,first,hit
1,first,hold
1,first,hole
1,first,home
1,first,hope
1,first,house
1,first,hurt
1,first,inch
1,first,interest
1,first,iron
1,first,is
1,first,join
1,first,joke
1,first,jump
1,first,keep
1,first,key
1,first,kick
1,first,kid
1,first,kill
1,first,kiss
1,first,knee
1,first,knife
1,first,know
1,first,lack
1,first,lamb
1,first,land
1,first,last
1,first,laugh
1,first,lay
1,first,lead
1,first,leaf
1,first,learn
1,first,leave
1,first,let
1,first,lie
1,first,lift
1,first,light
1,first,like
1,first,line
1,first,list
1,first,listen
1,first,live
1,first,long
1,first,look
1,first,love
1,first,lunch
1,first,machine
1,first,mail
1,first,make
1,first,man
1,first,map
1,first,market
1,first,marry
1,first,master
1,first,matter
1,first,mean
1,first,meet
1,first,middle
1,first,milk
1,first,mind
1,first,miss
1,first,mistake
1,first,mother
1,first,mouth
1,first,move
1,first,name
1,first,near
1,first,neck
1,first,need
1,first,nose
1,first,note
1,first,notice
1,first,number
1,first,nurse
1,first,O.K.
1,first,oil
1,first,OK
1,first,okay
1,first,open
1,first,order
1,first,out
1,first,own
1,first,paint
1,first,pair
1,first,paper
1,first,park
1,first,part
1,first,party
1,first,pass
1,first,pay
1,first,pen
1,first,pencil
1,first,people
1,first,pet
1,first,picture
1,first,piece
1,first,pig
1,first,place
1,first,plan
1,first,plant
1,first,play
1,first,please
1,first,pocket
1,second,point
1,second,police
1,second,pool
1,second,position
1,second,power
1,second,practice
1,second,prepare
1,second,price
1,second,print
1,second,prove
1,second,pull
1,second,push
1,second,put
1,second,question
1,second,quiet
1,second,race
1,second,radio
1,second,rain
1,second,raise
1,second,reach
1,second,read
1,second,ready
1,second,reason
1,second,receive
1,second,remember
1,second,report
1,second,rest
1,second,return
1,second,ride
1,second,ring
1,second,rise
1,second,roll
1,second,roof
1,second,room
1,second,root
1,second,rope
1,second,round
1,second,row
1,second,rub
1,second,rule
1,second,run
1,second,sail
1,second,salt
1,second,sand
1,second,save
1,second,saw
1,second,say
1,second,scare
1,second,school
1,second,seat
1,second,see
1,second,seed
1,second,seem
1,second,seesaw
1,second,sell
1,second,send
1,second,sense
1,second,sentence
1,second,serve
1,second,service
1,second,set
1,second,shake
1,second,shape
1,second,shine
1,second,ship
1,second,shop
1,second,shoulder
1,second,shout
1,second,show
1,second,shut
1,second,sight
1,second,sing
1,second,sit
1,second,size
1,second,skin
1,second,sleep
1,second,slow
1,second,smell
1,second,smile
1,second,smoke
1,second,snake
1,second,snow
1,second,soap
1,second,soil
1,second,sound
1,second,sour
1,second,space
1,second,speak
1,second,spell
1,second,spend
1,second,spoon
1,second,sport
1,second,stand
1,second,star
1,second,start
1,second,state
1,second,station
1,second,stay
1,second,step
1,second,stone
1,second,stop
1,second,store
1,second,study
1,second,sugar
1,second,sun
1,second,surprise
1,second,swim
1,second,tail
1,second,take
1,second,talk
1,second,taste
1,second,teach
1,second,tell
1,second,thank
1,second,think
1,second,throw
1,second,ticket
1,second,tie
1,second,time
1,second,tire
1,second,tool
1,second,top
1,second,total
1,second,touch
1,second,toy
1,second,train
1,second,trip
1,second,trouble
1,second,TRUE
1,second,try
1,second,turn
1,second,understand
1,second,up
1,second,use
1,second,view
1,second,visit
1,second,voice
1,second,wait
1,second,walk
1,second,wall
1,second,want
1,second,war
1,second,warm
1,second,wash
1,second,waste
1,second,watch
1,second,water
1,second,wear
1,second,weather
1,second,weekend
1,second,weigh
1,second,welcome
1,second,while
1,second,will
1,second,win
1,second,wind
1,second,wine
1,second,wish
1,second,word
1,second,work
1,second,worm
1,second,worry
1,second,worst
1,second,write
1,second,wrong
1,second,yellow
1,second,zero
1,second,can
1,second,cannot
1,second,do
1,second,have
1,second,may
1,second,must
1,second,need
1,second,shall
1,second,will
1,second,about
1,second,above
1,second,across
1,second,after
1,second,again
1,second,ago
1,second,ahead
1,second,all
1,second,almost
1,second,alone
1,second,along
1,second,already
1,second,also
1,second,always
1,second,any
1,second,around
1,second,as
1,second,away
1,second,back
1,second,before
1,second,behind
1,second,below
1,second,best
1,second,better
1,second,between
1,second,both
1,second,bright
1,second,but
1,second,by
1,second,clean
1,second,clear
1,second,close
1,second,dear
1,second,deep
1,second,direct
1,second,down
1,second,downstairs
1,second,each
1,second,early
1,second,east
1,second,either
1,second,else
1,second,enough
1,second,even
1,second,ever
1,second,far
1,second,fast
1,second,fine
1,second,first
1,second,free
1,second,good
1,second,half
1,second,hard
1,second,here
1,second,high
1,second,home
1,second,how
1,second,in
1,second,inside
1,second,just
1,second,last
1,second,late
1,second,least
1,second,left
1,second,less
1,second,light
1,second,likely
1,second,little
1,second,long
1,second,loud
1,second,low
1,second,maybe
1,second,more
1,second,most
1,second,much
1,second,near
1,second,never
1,second,next
1,second,no
1,second,nope
1,second,north
1,second,not
1,second,now
1,second,O.K.
1,second,off
1,second,often
1,second,OK
1,second,okay
1,second,on
1,second,once
1,second,only
1,second,out
1,second,outside
1,second,over
1,second,past
1,second,perhaps
1,second,pretty
1,second,quick
1,second,quite
1,second,right
1,second,round
1,second,same
1,second,second
1,second,sharp
1,second,since
1,second,slow
1,second,small
1,second,so
1,second,sometimes
1,second,soon
1,second,south
1,second,still
1,second,super
1,second,sure
1,second,that
1,second,then
1,second,there
1,second,third
1,second,this
1,second,though
1,second,thus
1,second,today
1,second,together
1,second,tomorrow
1,second,tonight
1,second,too
1,second,TRUE
1,second,twice
1,second,under
1,second,up
1,second,upstairs
1,second,very
1,second,well
1,second,west
1,second,when
1,second,where
1,second,why
1,second,wide
1,second,worse
1,second,worst
1,second,wrong
1,second,yeah
1,second,yes
1,second,yesterday
1,second,yet
1,second,about
1,second,above
1,second,according to
1,second,across
1,second,after
1,second,against
1,second,along
1,second,among
1,second,around
1,second,as
1,second,at
1,second,before
1,second,behind
1,second,below
1,second,beside
1,second,between
1,second,but
1,second,by
1,second,down
1,second,during
1,second,except
1,second,excepting
1,second,for
1,second,from
1,second,in
1,second,inside
1,second,into
1,second,less
1,second,like
1,second,near
1,second,of
1,second,off
1,second,on
1,second,out
1,second,outside
1,second,over
1,second,past
1,second,round
1,second,since
1,second,than
1,second,till
1,second,to
1,second,toward
1,second,towards
1,second,under
1,second,until
1,second,up
1,second,with
1,second,after
1,second,and
1,second,as
1,second,because
1,second,before
1,second,but
1,second,either
1,second,for
1,second,if
1,second,nor
1,second,once
1,second,only
1,second,or
1,second,since
1,second,so
1,second,than
1,second,that
1,second,though
1,second,till
1,second,until
1,second,when
1,second,where
1,second,whether
1,second,while
1,second,yet
1,second,act
1,second,action
1,second,actor
1,second,actress
1,second,address
1,second,adult
1,second,afternoon
1,second,age
1,second,agreement
1,second,air
1,second,airmail
1,second,airplane
1,second,airport
1,second,all
1,second,anger
1,second,animal
1,second,answer
1,second,ant
1,second,ape
1,second,apple
1,second,April
1,second,area
1,second,arm
1,second,army
1,second,art
1,second,August
1,second,aunt
1,second,auntie
1,second,aunty
1,second,autumn
1,second,baby
1,second,back
1,second,bag
1,second,ball
1,second,balloon
1,second,banana
1,second,band
1,second,bank
1,second,bar
1,second,barber
1,second,base
1,second,baseball
1,second,basket
1,second,basketball
1,second,bat
1,second,bath
1,second,bathroom
1,second,beach
1,second,bear
1,second,beat
1,second,beauty
1,second,bed
1,second,bee
1,second,bell
1,second,best
1,second,better
1,second,bicycle
1,second,bike
1,second,bird
1,second,birth
1,second,bit
1,second,bite
1,second,black
1,second,block
1,second,blood
1,second,blow
1,second,blue
1,second,boat
1,second,body
1,second,bone
1,second,book
1,second,bottom
1,second,bowl
1,second,box
1,second,boy
1,second,bread
1,second,break
1,second,breakfast
1,second,bridge
1,second,brother
1,second,brown
1,second,buck
1,second,bug
1,second,building
1,second,bus
1,second,butter
1,second,butterfly
1,second,buy
1,second,bye
1,second,cab
1,second,cage
1,second,cake
1,second,call
1,second,camel
1,second,camera
1,second,camp
1,second,can
1,second,candy
1,second,cap
1,second,car
1,second,card
1,second,care
1,second,case
1,second,cat
1,second,catch
1,second,cause
1,second,cent
1,second,center
1,second,chance
1,second,chart
1,second,chase
1,second,check
1,second,chick
1,second,chicken
1,second,chief
1,second,child
1,second,Christmas
1,second,church
1,second,city
1,second,class
1,second,clean
1,second,climb
1,second,clock
1,second,close
1,second,cloud
1,second,coast
1,second,coat
1,second,cocoa
1,second,coffee
1,second,Coke
1,second,cola
1,second,cold
1,second,color
1,second,common
1,second,cook
1,second,cookie
1,second,cooky
1,second,cool
1,second,cop
1,second,corn
1,second,cost
1,second,count
1,second,country
1,second,course
1,second,cover
1,second,cow
1,second,cowboy
1,second,crow
1,second,cry
1,second,cub
1,second,cup
1,second,cut
1,second,dad
1,second,daddy
1,second,dance
1,second,dancer
1,second,danger
1,second,dark
1,second,date
1,second,daughter
1,second,day
1,second,deal
1,second,dear
1,second,death
1,second,December
1,second,deer
1,second,desk
1,second,dig
1,second,dinner
1,second,dish
1,second,dog
1,second,doll
1,second,dollar
1,second,door
1,second,dove
1,second,down
1,second,downstairs
1,second,dozen
1,second,draw
1,second,dream
1,second,drink
1,second,drinking
1,second,drive
1,second,driver
1,second,duck
1,second,duckling
1,second,eagle
1,second,ear
1,second,earth
1,second,ease
1,second,east
1,second,edge
1,second,egg
1,second,eight
1,second,eighteen
1,second,eighty
1,third,elephant
1,third,eleven
1,third,end
1,third,English
1,third,enough
1,third,equal
1,third,evening
1,third,exam
1,third,examination
1,third,example
1,third,eye
1,third,face
1,third,fact
1,third,factory
1,third,fall
1,third,family
1,third,farm
1,third,farmer
1,third,fat
1,third,father
1,third,fear
1,third,February
1,third,feed
1,third,feel
1,third,feeling
1,third,feelings
1,third,fifteen
1,third,fifty
1,third,fight
1,third,fill
1,third,final
1,third,find
1,third,fine
1,third,finger
1,third,finish
1,third,fire
1,third,first
1,third,fish
1,third,five
1,third,floor
1,third,flower
1,third,fly
1,third,fog
1,third,food
1,third,foot
1,third,force
1,third,forest
1,third,fork
1,third,forty
1,third,four
1,third,fourteen
1,third,Friday
1,third,friend
1,third,frog
1,third,front
1,third,fruit
1,third,fun
1,third,game
1,third,garden
1,third,ghost
1,third,gift
1,third,girl
1,third,glass
1,third,glasses
1,third,go
1,third,god
1,third,goddess
1,third,gold
1,third,good
1,third,good-by
1,third,good-bye
1,third,goose
1,third,grandchild
1,third,granddaughter
1,third,grandfather
1,third,grandma
1,third,grandmother
1,third,grandpa
1,third,grandson
1,third,grass
1,third,gray
1,third,great
1,third,green
1,third,grey
1,third,ground
1,third,group
1,third,guess
1,third,guest
1,third,guide
1,third,gun
1,third,hair
1,third,haircut
1,third,half
1,third,ham
1,third,hand
1,third,hat
1,third,hate
1,third,head
1,third,health
1,third,heart
1,third,heat
1,third,hello
1,third,help
1,third,here
1,third,high
1,third,hill
1,third,history
1,third,hit
1,third,hold
1,third,hole
1,third,holiday
1,third,home
1,third,homework
1,third,hope
1,third,horse
1,third,hour
1,third,house
1,third,human
1,third,hundred
1,third,hurt
1,third,husband
1,third,ice
1,third,idea
1,third,inch
1,third,inside
1,third,interest
1,third,iron
1,third,January
1,third,job
1,third,join
1,third,joke
1,third,joy
1,third,juice
1,third,July
1,third,jump
1,third,June
1,third,keep
1,third,keeper
1,third,key
1,third,kick
1,third,kid
1,third,kill
1,third,kind
1,third,king
1,third,kiss
1,third,kitchen
1,third,kite
1,third,kitten
1,third,kitty
1,third,knee
1,third,knife
1,third,lack
1,third,lady
1,third,lake
1,third,lamb
1,third,lamp
1,third,land
1,third,last
1,third,laugh
1,third,law
1,third,leader
1,third,leaf
1,third,leave
1,third,left
1,third,leg
1,third,lesson
1,third,letter
1,third,level
1,third,lie
1,third,life
1,third,lift
1,third,light
1,third,like
1,third,lily
1,third,line
1,third,lion
1,third,lip
1,third,list
1,third,little
1,third,look
1,third,lot
1,third,love
1,third,low
1,third,lunch
1,third,luncheon
1,third,ma
1,third,machine
1,third,mail
1,third,mama
1,third,mamma
1,third,man
1,third,map
1,third,market
1,third,master
1,third,matter
1,third,May
1,third,meat
1,third,meet
1,third,middle
1,third,mile
1,third,milk
1,third,mind
1,third,minute
1,third,miss
1,third,mistake
1,third,mister
1,third,mom
1,third,moment
1,third,mommy
1,third,Monday
1,third,money
1,third,monkey
1,third,month
1,third,moon
1,third,morning
1,third,mother
1,third,mountain
1,third,mouse
1,third,mouth
1,third,movement
1,third,movie
1,third,mud
1,third,mug
1,third,mummy
1,third,music
1,third,must
1,third,name
1,third,nation
1,third,nature
1,third,neck
1,third,need
1,third,news
1,third,newspaper
1,third,night
1,third,nine
1,third,nineteen
1,third,ninety
1,third,no
1,third,noise
1,third,noon
1,third,north
1,third,nose
1,third,note
1,third,nothing
1,third,notice
1,third,November
1,third,now
1,third,number
1,third,nurse
1,third,O.K.
1,third,ocean
1,third,o'clock
1,third,October
1,third,office
1,third,officer
1,third,oil
1,third,OK
1,third,okay
1,third,once
1,third,one
1,third,open
1,third,orange
1,third,order
1,third,out
1,third,outside
1,third,pa
1,third,page
1,third,paint
1,third,pair
1,third,pants
1,third,papa
1,third,paper
1,third,parent
1,third,park
1,third,part
1,third,party
1,third,pass
1,third,past
1,third,payment
1,third,pen
1,third,pencil
1,third,people
1,third,person
1,third,pet
1,third,piano
1,third,picture
1,third,pie
1,third,piece
1,third,pig
1,third,place
1,third,plan
1,third,plane
1,third,plant
1,third,play
1,third,player
1,third,playground
1,third,pocket
1,third,poetry
1,third,point
1,third,police
1,third,policeman
1,third,pond
1,third,pool
1,third,pop
1,third,popcorn
1,third,position
1,third,power
1,third,practice
1,third,price
1,third,print
1,third,problem
1,third,public
1,third,pull
1,third,purple
1,third,purpose
1,third,push
1,third,queen
1,third,question
1,third,quiet
1,third,race
1,third,radio
1,third,railroad
1,third,rain
1,third,rainbow
1,third,raise
1,third,rat
1,third,reach
1,third,reason
1,third,red
1,third,report
1,third,rest
1,third,return
1,third,rice
1,third,ride
1,third,right
1,third,ring
1,third,rise
1,third,river
1,third,road
1,third,robot
1,third,rock
1,third,roof
1,third,room
1,third,rooster
1,third,root
1,third,rope
1,third,rose
1,third,round
1,third,row
1,third,rub
1,third,rubber
1,third,rule
1,third,safe
1,third,sail
1,third,sale
1,third,salt
1,third,sand
1,third,Saturday
1,third,saw
1,third,scare
1,third,scene
1,third,school
1,third,sea
1,third,season
1,third,seat
1,third,second
1,third,seed
1,third,seesaw
1,third,self
1,third,sense
1,third,sentence
1,third,September
1,third,service
1,third,set
1,third,seven
1,third,seventeen
1,third,seventy
1,third,shake
1,third,shape
1,third,shark
1,third,sheep
1,third,sheet
1,third,shine
1,third,ship
1,third,shirt
1,third,shoe
1,third,shop
1,third,shore
1,third,shot
1,third,shoulder
1,third,shout
1,third,show
1,third,side
1,third,sight
1,third,silver
1,third,singer
1,third,sir
1,third,sister
1,third,six
1,third,sixteen
1,third,sixty
1,third,size
1,third,skill
1,third,skin
1,third,sky
1,third,sleep
1,third,small
1,third,smell
1,third,smile
1,third,smoke
1,third,snake
1,third,snow
1,third,soap
1,third,soda
1,third,sofa
1,third,soil
1,third,someone
1,third,something
1,third,son
1,third,song
1,third,soul
1,third,sound
1,third,soup
1,third,sour
1,third,south
1,third,space
1,third,speech
1,third,spoon
1,third,sport
1,third,stair
1,third,stand
1,third,star
1,third,start
1,third,state
1,third,statement
1,third,station
1,third,stay
1,third,step
1,third,stone
1,third,stop
1,third,store
1,third,story
1,third,street
1,third,student
1,third,study
1,third,sugar
1,third,summer
1,third,sun
1,third,Sunday
1,third,supper
1,third,surprise
1,third,sweet
1,third,swim
1,third,table
1,third,tail
1,third,tale
1,third,talk
1,third,taste
1,third,taxi
1,third,taxicab
1,third,tea
1,third,teacher
1,third,ten
1,third,thank
1,third,then
1,third,there
1,third,thing
1,third,third
1,third,thirteen
1,third,thirty
1,third,thought
1,third,thousand
1,third,three
1,third,throw
1,third,Thursday
1,third,ticket
1,third,tie
1,third,tiger
1,third,time
1,third,tire
1,third,today
1,third,tomorrow
1,third,tone
1,third,tonight
1,third,tool
1,third,top
1,third,total
1,third,touch
1,third,town
1,third,toy
1,third,train
1,third,tree
1,third,trip
1,third,trouble
1,third,try
1,third,T-shirt
1,third,Tuesday
1,third,turn
1,third,twelve
1,third,twenty
1,third,two
1,third,uncle
1,third,unit
1,third,up
1,third,upstairs
1,third,use
1,third,vegetable
1,third,view
1,third,visit
1,third,voice
1,third,wait
1,third,walk
1,third,wall
1,third,want
1,third,war
1,third,warm
1,third,warming
1,third,wash
1,third,waste
1,third,watch
1,third,water
1,third,way
1,third,wear
1,third,weather
1,third,wedding
1,third,Wednesday
1,third,week
1,third,weekend
1,third,weight
1,third,welcome
1,third,well
1,third,west
1,third,where
1,third,while
1,third,white
1,third,whole
1,third,why
1,third,wide
1,third,wife
1,third,will
1,third,win
1,third,wind
1,third,window
1,third,wine
1,third,winter
1,third,wish
1,third,woman
1,third,wood
1,third,word
1,third,work
1,third,worker
1,third,world
1,third,worm
1,third,worry
1,third,worse
1,third,worst
1,third,writer
1,third,wrong
1,third,Xmas
1,third,yam
1,third,year
1,third,yellow
1,third,yes
1,third,yesterday
1,third,young
1,third,zero
1,third,zoo
2,first,absent
2,first,active
2,first,alike
2,first,alive
2,first,ancient
2,first,asleep
2,first,backward
2,first,believable
2,first,bitter
2,first,blank
2,first,blind
2,first,bloody
2,first,bony
2,first,brief
2,first,broad
2,first,calm
2,first,central
2,first,cheap
2,first,chemical
2,first,childish
2,first,childlike
2,first,choice
2,first,classic
2,first,clever
2,first,cloudy
2,first,colorful
2,first,comfortable
2,first,complete
2,first,convenient
2,first,costly
2,first,crazy
2,first,cream
2,first,cruel
2,first,curious
2,first,daily
2,first,dangerous
2,first,deaf
2,first,delicious
2,first,dishonest
2,first,distant
2,first,dizzy
2,first,double
2,first,downtown
2,first,dull
2,first,dumb
2,first,eastern
2,first,effective
2,first,elder
2,first,elect
2,first,entire
2,first,exact
2,first,excellent
2,first,expensive
2,first,expert
2,first,express
2,first,extra
2,first,fair
2,first,famous
2,first,favorite
2,first,fearful
2,first,female
2,first,firm
2,first,fit
2,first,flat
2,first,foggy
2,first,following
2,first,foolish
2,first,formal
2,first,former
2,first,forward
2,first,frank
2,first,friendly
2,first,further
2,first,future
2,first,generous
2,first,gentle
2,first,giant
2,first,golden
2,first,grassy
2,first,greedy
2,first,handsome
2,first,hateful
2,first,healthy
2,first,helpful
2,first,homesick
2,first,honest
2,first,humble
2,first,humid
2,first,ill
2,first,independent
2,first,instant
2,first,international
2,first,joint
2,first,juicy
2,first,latest
2,first,legal
2,first,local
2,first,lone
2,first,lonely
2,first,lovely
2,first,magic
2,first,main
2,first,male
2,first,measurable
2,first,military
2,first,minus
2,first,modern
2,first,movable
2,first,naked
2,first,narrow
2,first,national
2,first,natural
2,first,naughty
2,first,nearby
2,first,neat
2,first,necessary
2,first,negative
2,first,neither
2,first,northern
2,first,novel
2,first,official
2,first,ordinary
2,first,overseas
2,first,painful
2,first,particular
2,first,patient
2,first,peaceful
2,first,perfect
2,first,personal
2,first,pink
2,first,plain
2,first,playful
2,first,pleasant
2,first,plus
2,first,polite
2,first,popular
2,first,positive
2,first,powerful
2,first,present
2,first,principal
2,first,private
2,first,proud
2,first,rainy
2,first,rapid
2,first,rare
2,first,recent
2,first,regular
2,first,responsible
2,first,rocky
2,first,royal
2,first,rude
2,first,salty
2,first,secret
2,first,select
2,first,separate
2,first,serious
2,first,shocked
2,first,silent
2,first,similar
2,first,single
2,first,skilled
2,first,skillful
2,first,skinny
2,first,sleepy
2,first,slender
2,first,slim
2,first,snowy
2,first,social
2,first,southern
2,first,square
2,first,standard
2,first,straight
2,first,strict
2,first,successful
2,first,sudden
2,first,sunny
2,first,talkative
2,first,tasty
2,first,teenage
2,first,terrible
2,first,terrific
2,first,thick
2,first,thin
2,first,thirsty
2,first,traditional
2,first,ugly
2,first,uniform
2,first,upper
2,first,used
2,first,usual
2,first,video
2,first,western
2,first,wet
2,first,whatever
2,first,wild
2,first,willing
2,first,windy
2,first,wise
2,first,wonderful
2,first,wooden
2,first,absent
2,first,accept
2,first,advance
2,first,aid
2,first,aim
2,first,alarm
2,first,amount
2,first,apply
2,first,argue
2,first,arm
2,first,arrange
2,first,arrest
2,first,arrive
2,first,attack
2,first,attend
2,first,avoid
2,first,baby-sit
2,first,bake
2,first,barbecue
2,first,bark
2,first,battle
2,first,BBQ
2,first,bead
2,first,bear
2,first,beep
2,first,beg
2,first,belt
2,first,bend
2,first,bet
2,first,bill
2,first,bind
2,first,blind
2,first,board
2,first,boil
2,first,bomb
2,first,borrow
2,first,boss
2,first,bother
2,first,bottle
2,first,bow
2,first,branch
2,first,brand
2,first,brief
2,first,broadcast
2,first,brush
2,first,burn
2,first,burst
2,first,button
2,first,cable
2,first,calm
2,first,cancel
2,first,carpet
2,first,cart
2,first,cartoon
2,first,cash
2,first,cave
2,first,chalk
2,first,change
2,first,charge
2,first,cheat
2,first,choose
2,first,circle
2,first,claim
2,first,clap
2,first,claw
2,first,clothe
2,first,clown
2,first,club
2,first,coach
2,first,coin
2,first,collect
2,first,comb
2,first,compare
2,first,complain
2,first,complete
2,first,confirm
2,first,conflict
2,first,consider
2,first,contact
2,first,contain
2,first,control
2,first,copy
2,first,cough
2,first,couple
2,first,court
2,first,crane
2,first,create
2,first,crop
2,first,cross
2,first,crow
2,first,crowd
2,first,cure
2,first,curtain
2,first,damage
2,first,dawn
2,first,debate
2,first,decorate
2,first,delay
2,first,deliver
2,first,deny
2,first,depend
2,first,describe
2,first,desert
2,first,design
2,first,desire
2,first,detect
2,first,develop
2,first,dial
2,first,disagree
2,first,disappear
2,first,discuss
2,first,display
2,first,distance
2,first,divide
2,first,dot
2,first,double
2,first,doubt
2,first,drag
2,first,dress
2,first,drop
2,first,drug
2,first,drum
2,first,dull
2,first,earn
2,first,effect
2,first,elect
2,first,encourage
2,first,enjoy
2,first,excite
2,first,excuse
2,first,exercise
2,first,exist
2,first,expect
2,first,experience
2,first,explain
2,first,express
2,first,fail
2,first,fault
2,first,favor
2,first,fence
2,first,figure
2,first,film
2,first,firm
2,first,fit
2,first,fix
2,first,flag
2,first,flash
2,first,flat
2,first,flood
2,first,flour
2,first,flow
2,first,flute
2,first,focus
2,first,fool
2,first,forgive
2,first,form
2,first,forward
2,first,frighten
2,first,function
2,first,further
2,first,gain
2,first,garage
